date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:58	30355/30355	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:00:57%20GMT	https://innoculusteam.wordpress.com/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/index.html	(from )
13:00:58	104/104	---MCZ	200	added ('OK')	text/plain	date:Sun,%2012%20Feb%202017%2002:00:57%20GMT	https://innoculusteam.wordpress.com/robots.txt		(from )
13:00:59	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2012%20Feb%202017%2002:00:57%20GMT	https://innoculusteam.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/xmlrpc.php	(from https://innoculusteam.wordpress.com/)
13:00:59	20606/20606	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Feb%202017%2002:00:58%20GMT	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1377793621h	C:/My%20Web%20Sites/innoculus/s1.wp.com/wp-content/mu-plugins/highlander-comments/style0196.css	(from https://innoculusteam.wordpress.com/)
13:00:59	10259/10259	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Feb%202017%2001:48:00%20GMT	https://innoculusteam.wordpress.com/feed/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/feed/index.html	(from https://innoculusteam.wordpress.com/)
13:00:59	890/890	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2002:00:58%20GMT	https://innoculusteam.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/xmlrpc0db0.php	(from https://innoculusteam.wordpress.com/)
13:00:59	866/866	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2299b889a9cd748e8b4eca0eb3758d138d%22	https://innoculusteam.wordpress.com/comments/feed/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/comments/feed/index.html	(from https://innoculusteam.wordpress.com/)
13:01:00	1467/1467	---MCZ	200	added ('OK')	application/xml	date:Sun,%2012%20Feb%202017%2002:00:58%20GMT	https://innoculusteam.wordpress.com/osd.xml	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/osd.xml	(from https://innoculusteam.wordpress.com/)
13:01:00	2209/2209	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=32	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon76ca.png	(from https://innoculusteam.wordpress.com/)
13:01:00	20321/20321	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=192	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon9939.png	(from https://innoculusteam.wordpress.com/)
13:01:00	18573/18573	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Feb%202017%2008:00:28%20GMT	https://innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-icon.png?w=180	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/cropped-innoculus-iconad83.png	(from https://innoculusteam.wordpress.com/)
13:01:01	11320/11320	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Feb%202017%2001:44:57%20GMT	https://innoculusteam.files.wordpress.com/2017/02/innoculus-logo-2.png?w=327	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/innoculus-logo-2ed6a.png	(from https://innoculusteam.wordpress.com/)
13:01:01	27900/27900	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:00%20GMT	https://innoculusteam.wordpress.com/home/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/home/index.html	(from https://innoculusteam.wordpress.com/)
13:01:01	27174/27174	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:00%20GMT	https://innoculusteam.wordpress.com/blog/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/blog/index.html	(from https://innoculusteam.wordpress.com/)
13:01:01	698451/698451	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Jul%202016%2016:45:46%20GMT	https://defaultcustomheadersdata.files.wordpress.com/2016/07/city1.jpg?resize=1800,720	C:/My%20Web%20Sites/innoculus/defaultcustomheadersdata.files.wordpress.com/2016/07/city17d9f.jpg	(from https://innoculusteam.wordpress.com/)
13:01:02	27250/27250	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:00%20GMT	https://innoculusteam.wordpress.com/our-second-week/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/our-second-week/index.html	(from https://innoculusteam.wordpress.com/)
13:01:02	27238/27238	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:01%20GMT	https://innoculusteam.wordpress.com/our-third-week/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/our-third-week/index.html	(from https://innoculusteam.wordpress.com/)
13:01:02	27094/27094	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:01%20GMT	https://innoculusteam.wordpress.com/ai/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/ai/index.html	(from https://innoculusteam.wordpress.com/)
13:01:02	196217/196217	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Feb%202017%2007:27:41%20GMT	https://innoculusteam.files.wordpress.com/2017/02/grid1.jpg?w=630&h=820&crop=1	C:/My%20Web%20Sites/innoculus/innoculusteam.files.wordpress.com/2017/02/grid1a133.jpg	(from https://innoculusteam.wordpress.com/)
13:01:02	27146/27146	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2002:01:01%20GMT	https://innoculusteam.wordpress.com/iotioe/	C:/My%20Web%20Sites/innoculus/innoculusteam.wordpress.com/iotioe/index.html	(from https://innoculusteam.wordpress.com/)
